Name,Fortune,Change,Tax,Age,Type
Atle Sigmund Berge,"2,50 mrd","+0,35 mrd",0 mill,73,Industri
Didrik Eidsvig,"2,50 mrd","+1,10 mrd",0 mill,52,Finans
Karl Johan Sunde,"2,50 mrd","+0,10 mrd",0 mill,76,Eiendom
Kjell Arild Lorentsen,"2,50 mrd","0,00 mrd",0 mill,68,Sjømat
Magnus Haug Wanberg,"2,50 mrd","+0,05 mrd",0 mill,41,Finans
Morten Klein,"2,48 mrd","+0,33 mrd",0 mill,56,Finans
Knut Axel Ugland,"2,45 mrd","+0,50 mrd",11 mill,66,Industri
Anders Måsøval,"2,40 mrd","+0,80 mrd",0 mill,49,Sjømat
Carl Einar Bonnevie Rasmussen,"2,40 mrd","+0,15 mrd",0 mill,32,Finans
Carl Otto Løvenskiold,"2,40 mrd","-0,30 mrd",0 mill,72,Eiendom
Julie Bonnevie Rasmussen,"2,40 mrd","+0,15 mrd",0 mill,31,Finans
Lars Måsøval,"2,40 mrd","+0,80 mrd",0 mill,46,Sjømat
Per Frost,"2,40 mrd","-0,10 mrd",0 mill,79,Eiendom
Rune Isachsen,"2,40 mrd","+0,50 mrd",0 mill,59,Finans
Roger Halsebakk,"2,35 mrd","-0,10 mrd",0 mill,60,Sjømat
Anders Kiær,"2,30 mrd","+0,10 mrd",0 mill,68,Eiendom
Anders Opsahl,"2,30 mrd","-0,10 mrd",0 mill,54,Eiendom
Anne Lise Braathen,"2,30 mrd","-0,40 mrd",0 mill,79,Eiendom
Bjørn Anders Braathen,"2,30 mrd","-0,40 mrd",0 mill,49,Eiendom
Bjørn Ole Gleditsch,"2,30 mrd","+0,40 mrd",0 mill,62,Industri
Cristina Gjurød Braathen,"2,30 mrd","-0,40 mrd",0 mill,47,Eiendom
Erling Braut Haaland,"2,30 mrd","+0,50 mrd",0 mill,25,Finans
John Arild Ertvaag,"2,30 mrd","0,00 mrd",0 mill,70,Finans
Karl Ragnar Rimfeldt,"2,30 mrd","-0,10 mrd",0 mill,72,Eiendom
Ola Volstad,"2,30 mrd","+2,30 mrd",0 mill,69,Shipping
Per Heidenreich,"2,30 mrd","+0,20 mrd",0 mill,81,Finans
Marianne Rieber,"2,25 mrd","+0,85 mrd",0 mill,57,Industri
Peder Lie,"2,25 mrd","0,00 mrd",0 mill,77,Sjømat
Erik Bakkejord,"2,20 mrd","+0,20 mrd",0 mill,54,Industri
Francis Stückrath Hay,"2,20 mrd","-0,20 mrd",0 mill,56,Eiendom
Per Georg Braathen,"2,20 mrd","-0,60 mrd",0 mill,65,Hotell/Reiseliv
Helen Juell,"2,15 mrd","+0,05 mrd",0 mill,78,Shipping
Ingvar Hognaland,"2,15 mrd","+0,15 mrd",0 mill,69,Industri
Kjell Blakseth,"2,15 mrd","+0,15 mrd",0 mill,70,Industri
Leif Hübert d.y.,"2,15 mrd","-0,35 mrd",0 mill,64,Industri
Randi Herre Eide,"2,15 mrd","+0,65 mrd",0 mill,61,Sjømat
Tom Christopher Steckmest,"2,15 mrd","+0,30 mrd",0 mill,61,Shipping
Cecilie Paus,"2,10 mrd","+0,30 mrd",0 mill,82,Shipping
Eilert Hanoa,"2,10 mrd","+0,45 mrd",0 mill,55,Finans
Knut Hage,"2,10 mrd","-0,25 mrd",0 mill,79,Eiendom
Roar Karlsen,"2,10 mrd","+0,80 mrd",0 mill,83,Sjømat
Rolv Haugarvoll,"2,10 mrd","+0,05 mrd",0 mill,78,Sjømat
Stig Otto Nilsen,"2,10 mrd","+0,80 mrd",0 mill,57,Eiendom
Tone Bjørseth-Andersen,"2,10 mrd","+0,25 mrd",0 mill,56,Industri
Anders Pedersen,"2,00 mrd","-0,25 mrd",0 mill,82,Finans
Anne Cecilie Gleditsch,"2,00 mrd","+0,35 mrd",0 mill,58,Industri
Catharina Fiskerstrand Broch,"2,00 mrd","+2,00 mrd",0 mill,27,Industri
Elisabeth Eidsvig Vergara,"2,00 mrd","+2,00 mrd",0 mill,56,Handel
Frode Strand-Nielsen,"2,00 mrd","+0,30 mrd",0 mill,70,Finans
Geir Langfeldt Olsen,"2,00 mrd","0,00 mrd",0 mill,52,Finans
Odd Gleditsch d.y.,"2,00 mrd","+0,35 mrd",0 mill,67,Industri
Ole Jacob Fiskerstrand Broch,"2,00 mrd","+2,00 mrd",0 mill,28,Industri
Thor Spandow,"2,00 mrd","-0,20 mrd",0 mill,86,Eiendom
Agnes Elizabeth Astrup Mellbye,"1,95 mrd","-0,15 mrd",0 mill,46,Finans
Bjørn Steinar Berg-Hansen,"1,95 mrd","+0,25 mrd",0 mill,90,Sjømat
Egil Dahl,"1,95 mrd","+0,15 mrd",0 mill,57,Finans
Halle Ragnar Sivertsen,"1,95 mrd","+0,35 mrd",0 mill,67,Sjømat
Atle Brynestad,"1,90 mrd","+0,30 mrd",0 mill,72,Hotell/Reiseliv
Bjørn Halvor Kise,"1,90 mrd","+0,50 mrd",0 mill,75,Finans
Borger Borgenhaug,"1,90 mrd","-0,40 mrd",0 mill,53,Eiendom
Eva Lilian Nordberg,"1,90 mrd","+0,30 mrd",0 mill,81,Handel
Geir Olav Drangsland,"1,90 mrd","-0,20 mrd",0 mill,63,Handel
Jens Petter Selmer,"1,90 mrd","-0,20 mrd",0 mill,75,Handel
Jens Rugseth,"1,90 mrd","0,00 mrd",0 mill,63,Finans
Leif Inge Nordhammer,"1,90 mrd","+0,30 mrd",0 mill,67,Sjømat
Per Halvard Strand,"1,90 mrd","+0,15 mrd",0 mill,79,Industri
Roger Halshamn,"1,90 mrd","+0,30 mrd",0 mill,70,Handel
Stein Sturla Steinsvik,"1,90 mrd","+0,25 mrd",0 mill,83,Eiendom
Trygve Bjerke,"1,90 mrd","-0,40 mrd",0 mill,69,Eiendom
Anders Endreson,"1,85 mrd","+0,25 mrd",0 mill,66,Finans
Arild Abel Engh,"1,85 mrd","+0,05 mrd",0 mill,62,Finans
Arne Veidung,"1,85 mrd","-0,05 mrd",0 mill,69,Eiendom
Bjarte Tunold,"1,85 mrd","+0,30 mrd",0 mill,66,Sjømat
Carl Diderik Cappelen,"1,85 mrd","-0,10 mrd",0 mill,70,Industri
Henrik Müller-Hansen,"1,85 mrd","+0,30 mrd",0 mill,53,Handel
Kim Wahl,"1,85 mrd","0,00 mrd",0 mill,65,Finans
Nils Martin Williksen,"1,85 mrd","+0,50 mrd",0 mill,70,Sjømat
Olav Thon,"1,85 mrd","-0,15 mrd",0 mill,102,Eiendom
Bertel O. Steen jr.,"1,80 mrd","+0,20 mrd",0 mill,77,Handel
Bjørn Richard Schage,"1,80 mrd","-0,70 mrd",0 mill,66,Eiendom
Ivar Johannes Koteng,"1,80 mrd","-0,45 mrd",0 mill,66,Eiendom
Johan Bernt Michelsen,"1,80 mrd","+1,80 mrd",0 mill,51,Finans
Knut Schage,"1,80 mrd","-0,70 mrd",0 mill,75,Eiendom
Nils Wenaas,"1,80 mrd","0,00 mrd",0 mill,71,Industri
Odd Arvid Sulland,"1,80 mrd","-0,15 mrd",0 mill,82,Handel
Odd Johnny Winge,"1,80 mrd","+0,10 mrd",0 mill,50,Finans
Ståle Fatland,"1,80 mrd","+0,20 mrd",0 mill,70,Handel
Erik Gunnar Braathen,"1,75 mrd","+0,30 mrd",0 mill,70,Finans
Jan Magnus Kleven,"1,75 mrd","+0,40 mrd",0 mill,67,Olje og energi
Leopold Løvenskiold,"1,75 mrd","+0,15 mrd",0 mill,54,Eiendom
Magne Roar Sangolt,"1,75 mrd","+0,05 mrd",0 mill,68,Finans
Morten Astrup,"1,75 mrd","+0,35 mrd",0 mill,50,Finans
Svein Tollef Helling,"1,75 mrd","-0,35 mrd",0 mill,81,Handel
Terje Bondø,"1,75 mrd","+0,10 mrd",0 mill,74,Sjømat
Dag Stian Stiansen,"1,70 mrd","-0,30 mrd",0 mill,80,Eiendom
Else Katharina Astrup Petterøe,"1,70 mrd","-0,35 mrd",0 mill,51,Finans
Fredrik Halvorsen,"1,70 mrd","0,00 mrd",0 mill,52,Finans
Johan Benad Ugland,"1,70 mrd","+0,15 mrd",0 mill,72,Shipping
Ketil Sandhaug,"1,70 mrd","+0,05 mrd",0 mill,59,Finans
Ole Rugland,"1,70 mrd","-0,10 mrd",0 mill,70,Eiendom
Per Audun Lillebø,"1,70 mrd","0,00 mrd",0 mill,70,Industri
Petter Fornæss,"1,70 mrd","+0,25 mrd",0 mill,49,Finans
Thomas Gleditsch,"1,70 mrd","+0,30 mrd",0 mill,66,Industri
Thor Johan Furuholmen,"1,70 mrd","-0,20 mrd",0 mill,52,Eiendom
Ove Løfsnæs,"1,65 mrd","+0,15 mrd",0 mill,62,Sjømat
Sigurd Wahl,"1,65 mrd","-0,35 mrd",0 mill,82,Eiendom
Alexandra M. Angelil,"1,60 mrd","0,00 mrd",0 mill,57,Finans
Celina Midelfart,"1,60 mrd","+0,10 mrd",0 mill,52,Finans
Halgrim Thon,"1,60 mrd","-0,20 mrd",0 mill,79,Eiendom
Ivar Refsnes,"1,60 mrd","+1,60 mrd",0 mill,51,Sjømat
Jørgen Jørgensen,"1,60 mrd","+0,05 mrd",0 mill,52,Handel
Odd Geir Bekkeli,"1,60 mrd","+0,20 mrd",0 mill,79,Sjømat
Ola Emil Heggset,"1,60 mrd","-0,30 mrd",0 mill,58,Eiendom
Ola Mæle,"1,60 mrd","+0,30 mrd",0 mill,68,Handel
